ratio,epsilon,N,rule,NL,NR,nodal_max_error,reconstructed_Linf_error,balanced_error,L2_error,balanced_derivative
2,0.001,128,max,37,27,0.0005116938390323789,0.0007017178070278796,0.037542246803305195,3.7253965427989936e-05,0.037542228319351785
2,0.001,128,bal,39,25,0.0006025859791076726,0.000762891774958252,0.03726326335067531,3.8661301142820934e-05,0.03726324329477476
2,0.001,256,max,75,53,0.00013326006014091618,0.00017346865763290253,0.018787361148000663,1.0037686833217275e-05,0.01878735846653935
2,0.001,256,bal,79,49,0.00015836787659284646,0.00020237972489711709,0.018701946242167384,1.051817254890961e-05,0.018701943284401355
2,0.001,512,max,150,106,3.329411702956975e-05,4.370348120863454e-05,0.009411758946019984,2.669159449193286e-06,0.009411758567535348
2,0.001,512,bal,157,99,3.872218856049159e-05,5.006593565592965e-05,0.009368124128687809,2.7703355519037523e-06,0.00936812371906689
2,0.001,1024,max,300,212,8.309416574148187e-06,1.097315537723631e-05,0.00471043702405971,7.01535130384868e-07,0.00471043697181917
2,0.001,1024,bal,314,198,9.669640384180056e-06,1.257736172810553e-05,0.0046885939416856665,7.274442823045316e-07,0.004688593885253483
2,1e-05,128,max,37,27,0.0005191125300003652,0.0007017172984702391,0.03754176045540445,3.5855149632193036e-06,0.037541760284182886
2,1e-05,128,bal,39,25,0.0006065287005490028,0.000762891002666688,0.037262769615352465,3.728127993088297e-06,0.03726276942885346
2,1e-05,256,max,75,53,0.0001348439090462783,0.0001734686321666068,0.018787269818127193,9.509092513417021e-07,0.01878726979406227
2,1e-05,256,bal,79,49,0.00015997638134246372,0.0002023796832668623,0.018701853012949913,9.995392600465276e-07,0.018701852986239224
2,1e-05,512,max,150,106,3.385743347683601e-05,4.3703480054890775e-05,0.009411743233586074,2.4896418778317844e-07,0.009411743230293212
2,1e-05,512,bal,157,99,3.929096024224421e-05,5.006593384981883e-05,0.009368108186195396,2.592983418315348e-07,0.009368108182606857
2,1e-05,1024,max,300,212,8.47995221531228e-06,1.0973155316840177e-05,0.004710434686197991,6.492779618748414e-08,0.004710434685750515
2,1e-05,1024,bal,314,198,9.84132849324304e-06,1.257736166060397e-05,0.004688591573223525,6.758863911658389e-08,0.004688591572736361
2,1e-07,128,max,37,27,0.0005192028665770287,0.000701717292276971,0.03754175615118653,3.583570414589312e-07,0.03754175614947617
2,1e-07,128,bal,39,25,0.000606578081088216,0.0007628909924841665,0.037262765211373526,3.726213810416916e-07,0.03726276520951045
2,1e-07,256,max,75,53,0.00013486811015717137,0.00017346863179357186,0.018787268660310587,9.499958490551773e-08,0.0187872686600704
2,1e-07,256,bal,79,49,0.0001600011954567826,0.00020237968248348892,0.018701851823614314,9.986365411112687e-08,0.01870185182334769
2,1e-07,512,max,150,106,3.3869477629622224e-05,4.370348003002178e-05,0.009411742653792606,2.4845260260839004e-08,0.009411742653759813
2,1e-07,512,bal,157,99,3.930326663192929e-05,5.006593110845614e-05,0.009368107583420122,2.5879398262668415e-08,0.009368107583384376
2,1e-07,1024,max,300,212,8.48591415936184e-06,1.0973153935722735e-05,0.004710434459878393,6.463693253960735e-09,0.004710434459873958
2,1e-07,1024,bal,314,198,9.84741890652785e-06,1.2577362161536598e-05,0.0046885913437410285,6.73028950089024e-09,0.004688591343736198
4,0.001,128,max,43,21,0.0008825637767388983,0.0010765370619751913,0.05987378627132487,5.843610717401798e-05,0.05987375775484339
4,0.001,128,bal,46,18,0.001236106055243269,0.0014587023905154872,0.059125281942395184,6.84359274690494e-05,0.05912524233600699
4,0.001,256,max,85,43,0.00021101695748271254,0.00027034924919266956,0.03018900843139527,1.5436899326569428e-05,0.03018900448462973
4,0.001,256,bal,92,36,0.0003115435487091034,0.00037336138408106123,0.029673597535062934,1.8248315696873573e-05,0.029673591923996448
4,0.001,512,max,171,85,5.420244279541464e-05,6.785169045508965e-05,0.01508782117167571,4.12899177484934e-06,0.01508782060669773
4,0.001,512,bal,183,73,7.574539555732507e-05,9.189070889270567e-05,0.01486436468340152,4.744619308198489e-06,0.014864363926173968
4,0.001,1024,max,341,171,1.3374231170759643e-05,1.698245491965622e-05,0.00756002783531728,1.0819126373498447e-06,0.007560027757901232
4,0.001,1024,bal,367,145,1.9234827970615598e-05,2.342733968019317e-05,0.007439342749066824,1.2534492774156321e-06,0.007439342643470459
4,1e-05,128,max,43,21,0.0008867146754933941,0.0010765357464839198,0.059872994791514596,5.630171753147198e-06,0.059872994526797306
4,1e-05,128,bal,46,18,0.001240502154865375,0.001458700245601463,0.059124434619509204,6.6365750375427415e-06,0.05912443424703944
4,1e-05,256,max,85,43,0.00021267818325210186,0.0002703492122275719,0.0301888655812023,1.462991761678316e-06,0.03018886554575306
4,1e-05,256,bal,92,36,0.0003133015721235033,0.00037336127732690017,0.029673444409054762,1.747438023889192e-06,0.029673444357602368
4,1e-05,512,max,171,85,5.478829172833599e-05,6.785168766398897e-05,0.015087797203028335,3.857484928506322e-07,0.015087797198097136
4,1e-05,512,bal,183,73,7.635539771522204e-05,9.189070447490622e-05,0.014864339393382204,4.484404992290119e-07,0.014864339386617732
4,1e-05,1024,max,341,171,1.354975166734107e-05,1.698245485304284e-05,0.007560024361218647,1.0028883848134844e-07,0.007560024360553448
4,1e-05,1024,bal,367,145,1.9416966716034878e-05,2.342733950122522e-05,0.007439339083708438,1.178351017926074e-07,0.007439339082775216
4,1e-07,128,max,43,21,0.0008867673596526515,0.0010765357277762178,0.059872988556836086,5.627173669696515e-07,0.05987298855419173
4,1e-07,128,bal,46,18,0.001240558627248145,0.0014587002162662621,0.05912442769410471,6.633690684808175e-07,0.05912442769038325
4,1e-07,256,max,85,43,0.00021270422834351876,0.0002703492116893358,0.030188863870707558,1.46156335966513e-07,0.030188863870353758
4,1e-07,256,bal,92,36,0.0003133297576254357,0.00037336127534359775,0.029673442517887304,1.7460717961786348e-07,0.029673442517373583
4,1e-07,512,max,171,85,5.480131197765914e-05,6.785168796685781e-05,0.015087796129151902,3.848936564342653e-08,0.015087796129102809
4,1e-07,512,bal,183,73,7.636932536980723e-05,9.189070751336459e-05,0.014864338273961846,4.4763355029928797e-08,0.014864338273894443
4,1e-07,1024,max,341,171,1.3556176877038695e-05,1.698245485215466e-05,0.007560023929989589,9.977393559543013e-09,0.007560023929983005
4,1e-07,1024,bal,367,145,1.9423874842772193e-05,2.342733987159562e-05,0.007439338634047473,1.1735973809230613e-08,0.007439338634038215
10,0.001,128,max,48,16,0.0015982384331476585,0.002092087229419448,0.12461275020844163,0.00010851402091032077,0.12461270296088893
10,0.001,128,bal,50,14,0.002137398030501947,0.0023896193435102298,0.12167778639683292,0.00012218861606291153,0.12167772504602231
10,0.001,256,max,97,31,0.0004320536130362207,0.0005194229364740011,0.06212519580180384,2.96797540523799e-05,0.06212518871218554
10,0.001,256,bal,105,23,0.0008277416640194435,0.0009065519292370539,0.06021412890331188,4.275161516889008e-05,0.060214113726634384
10,0.001,512,max,194,62,0.00010834711778073824,0.00013075017102792685,0.03112262846994576,7.884522076463511e-06,0.03112262747122405
10,0.001,512,bal,211,45,0.00021795090063925215,0.00024064351851604826,0.030162958374047772,1.1658009045415058e-05,0.030162956121132487
10,0.001,1024,max,389,123,2.760016319647285e-05,3.263176160750447e-05,0.01555131479179345,2.0844485223832574e-06,0.015551314652097041
10,0.001,1024,bal,421,91,5.328248964353577e-05,5.934108396443705e-05,0.015095629777089163,2.988782797224801e-06,0.015095629481214701
10,1e-05,128,max,48,16,0.0016028649949313412,0.002092085923990794,0.12461110424856303,1.0430351944296574e-05,0.12461110381203597
10,1e-05,128,bal,50,14,0.002142336430752678,0.002389614418453867,0.12167608897688759,1.1824666009917867e-05,0.12167608840231814
10,1e-05,256,max,97,31,0.0004339178012133793,0.0005194228696101533,0.06212491307791013,2.8170301484639123e-06,0.062124913014041556
10,1e-05,256,bal,105,23,0.0008298972958962203,0.0009065514610999692,0.06021380411449579,4.13717647624179e-06,0.06021380397236701
10,1e-05,512,max,194,62,0.00010899162105459936,0.0001307501679477241,0.031122583282908487,7.379050642916371e-07,0.031122583274160755
10,1e-05,512,bal,211,45,0.00021869302439148086,0.00024064349720420708,0.030162905868437322,1.1202554342495262e-06,0.030162905847634085
10,1e-05,1024,max,389,123,2.779151657184009e-05,3.263176150269942e-05,0.015551308566789252,1.93930997808565e-07,0.015551308565580055
10,1e-05,1024,bal,421,91,5.3498414977593e-05,5.93410832339103e-05,0.01509562265623148,2.859008388333294e-07,0.015095622653524097
10,1e-07,128,max,48,16,0.0016029249871869489,0.0020920859083570775,0.12461109381139991,1.0424300852616128e-06,0.1246110938070397
10,1e-07,128,bal,50,14,0.002142401157297691,0.0023896143418893345,0.12167607804113587,1.1819035073209969e-06,0.12167607803539564
10,1e-07,256,max,97,31,0.00043394826357934235,0.0005194228686526969,0.062124909953411245,2.81422768012631e-07,0.06212490995277383
10,1e-07,256,bal,105,23,0.000829933896374424,0.0009065514541575226,0.06021380027814616,4.134633692914631e-07,0.06021380027672661
10,1e-07,512,max,194,62,0.00010900677025027505,0.00013075016789620975,0.0311225806419681,7.359916011871277e-08,0.03112258064188108
10,1e-07,512,bal,211,45,0.0002187114880944918,0.00024064349217711722,0.030162902964854632,1.1186525298651285e-07,0.030162902964647194
10,1e-07,1024,max,389,123,2.7799034810982448e-05,3.263176149204128e-05,0.015551307415661004,1.9268769480469537e-08,0.015551307415649068
10,1e-07,1024,bal,421,91,5.35074583232209e-05,5.9341079834851485e-05,0.0150956214417931,2.849033417478207e-08,0.015095621441766216
100,0.001,128,max,50,14,0.013476170052582503,0.019289802260999522,1.146476326210036,0.0007232749626142931,1.146476098064582
100,0.001,128,bal,50,14,0.013476170052582503,0.019289802260999522,1.146476326210036,0.0007232749626142931,1.146476098064582
100,0.001,256,max,112,16,0.002673576428666946,0.0038991660404832373,0.5147427155078476,0.000173389692728325,0.514742686304922
100,0.001,256,bal,112,16,0.002673576428666946,0.0038991660404832373,0.5147427155078476,0.000173389692728325,0.514742686304922
100,0.001,512,max,232,24,0.0008476401043082671,0.0009147037755639076,0.24953145307687502,5.389177415389917e-05,0.24953144725732138
100,0.001,512,bal,238,18,0.0015696196673178342,0.0015696196673178342,0.2442219419086177,7.658185594503531e-05,0.24422192990154587
100,0.001,1024,max,465,47,0.00022225102400796892,0.00022842251020449567,0.12464596058704457,1.4446567226820996e-05,0.12464595974986017
100,0.001,1024,bal,489,23,0.0010214235342360656,0.0010214235342360656,0.12059174882907614,4.390325168844843e-05,0.12059174083725419
100,1e-05,128,max,50,14,0.013765622266686872,0.01928979043941581,1.1464618546620868,6.814727480358913e-05,1.1464618526367027
100,1e-05,128,bal,50,14,0.013765622266686872,0.01928979043941581,1.1464618546620868,6.814727480358913e-05,1.1464618526367027
100,1e-05,256,max,112,16,0.002757203388631835,0.0038991655622737653,0.5147405879503218,1.6160030673503875e-05,0.5147405876966537
100,1e-05,256,bal,112,16,0.002757203388631835,0.0038991655622737653,0.5147405879503218,1.6160030673503875e-05,0.5147405876966537
100,1e-05,512,max,232,24,0.0008487355333870461,0.0009147037550292225,0.24953114920155467,5.070541439067087e-06,0.24953114915003727
100,1e-05,512,bal,238,18,0.001570986108704986,0.001570986108704986,0.24422162097087644,7.398499656156187e-06,0.2442216208588106
100,1e-05,1024,max,465,47,0.00022256901445949495,0.00022842250939447695,0.12464592415702618,1.3561239380762588e-06,0.12464592414964898
100,1e-05,1024,bal,489,23,0.0010219874425034803,0.0010219874425034803,0.12059168856558904,4.3200266796220975e-06,0.12059168848820961
100,1e-07,128,max,50,14,0.013770077752264243,0.01928979029823097,1.146461781811052,6.80850276799947e-06,1.1464617817908351
100,1e-07,128,bal,50,14,0.013770077752264243,0.01928979029823097,1.146461781811052,6.80850276799947e-06,1.1464617817908351
100,1e-07,256,max,112,16,0.002759441630551418,0.003899165555552031,0.5147405686677431,1.6135327654204138e-06,0.5147405686652141
100,1e-07,256,bal,112,16,0.002759441630551418,0.003899165555552031,0.5147405686677431,1.6135327654204138e-06,0.5147405686652141
100,1e-07,512,max,232,24,0.0008487659117450974,0.000914703754688162,0.24953112139544328,5.051963438553745e-07,0.2495311213949319
100,1e-07,512,bal,238,18,0.0015710258553425227,0.0015710258553425227,0.24422159215287445,7.384426586238679e-07,0.24422159215175804
100,1e-07,1024,max,465,47,0.00022258424544618904,0.00022842250945132037,0.12464591115903473,1.3425606244344678e-07,0.12464591115896241
100,1e-07,1024,bal,489,23,0.0010220183078812894,0.0010220183078812894,0.12059167406825512,4.31332664782304e-07,0.12059167406748372
