ratio,epsilon,N,max_winner,bal_winner,max_gain_sqrt_vs_23_pct,bal_gain_23_vs_sqrt_pct
2,1e-07,128,max,bal,14.404611250448408,0.7431483457765342
2,1e-07,256,max,bal,15.708060947832003,0.4546527664062272
2,1e-07,512,max,bal,13.825285957001732,0.46362370899400984
2,1e-07,1024,max,bal,13.826006185879514,0.4637176532953591
2,1e-05,128,max,bal,14.412536532815734,0.7431479948400321
2,1e-05,256,max,bal,15.71011425891925,0.4546525706191962
2,1e-05,512,max,bal,13.828948775770245,0.4636234362510594
2,1e-05,1024,max,bal,13.833257154920364,0.4637175638687596
2,0.001,128,max,bal,15.083679877498902,0.7431186899696129
2,0.001,256,max,bal,15.85410942680051,0.45464025075372394
2,0.001,512,max,bal,14.017987445214096,0.4636202178831539
2,0.001,1024,max,bal,14.066953433524299,0.46371668408844435
4,1e-07,128,max,bal,28.518705994595916,1.25024803467223
4,1e-07,256,max,bal,32.114897111754026,1.707322789713761
4,1e-07,512,max,bal,28.241723084115456,1.4810503354979798
4,1e-07,1024,max,bal,30.208689117027156,1.5963612954103756
4,1e-05,128,max,bal,28.519698896482403,1.2502467508297754
4,1e-05,256,max,bal,32.117103080394294,1.7073220945025391
4,1e-05,512,max,bal,28.24568613645827,1.4810499282246425
4,1e-05,1024,max,bal,30.216949611643283,1.5963609605453066
4,0.001,128,max,bal,28.60129007577692,1.2501369556582764
4,0.001,256,max,bal,32.26726781630623,1.7072799774249359
4,0.001,512,max,bal,28.44127039458979,1.4810388175443334
4,0.001,1024,max,bal,30.468672809598264,1.5963576970797089
10,1e-07,128,max,bal,25.180912933748047,2.3553406687098155
10,1e-07,256,max,bal,47.71291238072689,3.076237336518106
10,1e-07,512,max,bal,50.159558969677946,3.0835414587033427
10,1e-07,1024,max,bal,48.04643000783619,2.930210056866367
10,1e-05,128,max,bal,25.181452739045362,2.355340071315748
10,1e-05,256,max,bal,47.714277012460435,3.0762360359645635
10,1e-05,512,max,bal,50.16227821720815,3.083540353149894
10,1e-05,1024,max,bal,48.051701001833145,2.9302094328635286
10,0.001,128,max,bal,25.225044173343424,2.3552676645843595
10,0.001,256,max,bal,47.803326591269446,3.076154326480962
10,0.001,512,max,bal,50.288290865990895,3.083512360868601
10,0.001,1024,max,bal,48.20031237068649,2.930202499307366
100,1e-07,128,tie,tie,0.0,0.0
100,1e-07,256,tie,tie,0.0,0.0
100,1e-07,512,max,bal,45.97377828896104,2.127802421147529
100,1e-07,1024,max,bal,78.221109765869,3.252603357046213
100,1e-05,128,tie,tie,0.0,0.0
100,1e-05,256,tie,tie,0.0,0.0
100,1e-05,512,max,bal,45.974345114567186,2.1278017785224645
100,1e-05,1024,max,bal,78.2219423445864,3.2526018149857006
100,0.001,128,tie,tie,0.0,0.0
100,0.001,256,tie,tie,0.0,0.0
100,0.001,512,max,bal,45.99710223071336,2.127792349536628
100,0.001,1024,max,bal,78.24105118410132,3.2525817434229887
