ratio,epsilon,N,max_winner,bal_winner,max_gain_sqrt_vs_bal_pct,bal_gain_23_vs_sqrt_pct
2,1e-07,128,max,bal,7.037766529694689,0.7776901715459084
2,1e-07,256,max,bal,14.0337784354166,0.46833841679776445
2,1e-07,512,max,bal,12.80602971328657,0.46721014136151817
2,1e-07,1024,max,bal,12.76527554680218,0.464818846555759
2,1e-05,128,max,bal,7.037765591099343,0.7776896479274931
2,1e-05,256,max,bal,14.033778392683338,0.46833816093755365
2,1e-05,512,max,bal,12.806029445474888,0.46720987367986355
2,1e-05,1024,max,bal,12.765275910034257,0.4648189077741893
2,0.001,128,max,bal,7.037680864862617,0.7776363340352144
2,0.001,256,max,bal,14.03374067660913,0.4683163860539796
2,0.001,512,max,bal,12.806019685299418,0.46720408604834507
2,0.001,1024,max,bal,12.765275619738038,0.46481711599254405
4,1e-07,128,max,bal,26.098838559029623,1.3940145882760047
4,1e-07,256,max,bal,27.576849421776707,1.7581571583234368
4,1e-07,512,max,bal,26.194663304248166,1.494658671148874
4,1e-07,1024,max,bal,27.562516897499258,1.600906916930056
4,1e-05,128,max,bal,26.098838570242922,1.3940124218522754
4,1e-05,256,max,bal,27.576848776085004,1.7581563629475827
4,1e-05,512,max,bal,26.19466346103606,1.494658459318543
4,1e-05,1024,max,bal,27.5625164873462,1.6009068998706244
4,0.001,128,max,bal,26.0988367207857,1.3937946554449243
4,0.001,256,max,bal,27.576794277737505,1.7580759815839064
4,0.001,512,max,bal,26.194662152729464,1.494636547678918
4,0.001,1024,max,bal,27.56251218419108,1.60089951912753
10,1e-07,128,max,bal,6.503414146179187,2.4447886714778155
10,1e-07,256,max,bal,42.63569718565952,3.1931548750225303
10,1e-07,512,max,bal,45.56839864571081,3.12550444843539
10,1e-07,1024,max,bal,45.05141294034579,2.9422022249763202
10,1e-05,128,max,bal,6.503411133275461,2.4447873934593023
10,1e-05,256,max,bal,42.63569644159936,3.1931530738105174
10,1e-05,512,max,bal,45.56839834948783,3.1255037591950807
10,1e-05,1024,max,bal,45.051412889717966,2.9422020010484884
10,0.001,128,max,bal,6.503164237336634,2.4446556561483312
10,0.001,256,max,bal,42.635634849541916,3.192971934841815
10,0.001,512,max,bal,45.568380451665,3.1254367053497822
10,0.001,1024,max,bal,45.05140824656028,2.942182577918462
100,1e-07,128,tie,tie,0.0,0.0
100,1e-07,256,tie,tie,0.0,0.0
100,1e-07,512,max,bal,33.62227972164445,2.15263904655687
100,1e-07,1024,max,bal,74.30079482455592,3.317720534059998
100,1e-05,128,tie,tie,0.0,0.0
100,1e-05,256,tie,tie,0.0,0.0
100,1e-05,512,max,bal,33.62227900007911,2.152638656863737
100,1e-05,1024,max,bal,74.30079469899107,3.3177194996009796
100,0.001,128,tie,tie,0.0,0.0
100,0.001,256,tie,tie,0.0,0.0
100,0.001,512,max,bal,33.62224653704704,2.1526014554453576
100,0.001,1024,max,bal,74.3007913182273,3.317618864599192
