ratio,rule,NL,NR,nodal_max_error,balanced_error
2,sym,64,64,0.000917359069406,0.0789879225145488
2,max,75,53,0.0006686033935747,0.0738544746559113
2,bal,79,49,0.0007777512854163,0.0735085859675377
4,sym,64,64,0.0018347181388134,0.1456465326427392
4,max,85,43,0.001041193852628,0.1186887672119561
4,bal,92,36,0.0014376533401714,0.1166020330991151
10,sym,64,64,0.0045867953470359,0.3550065583121941
10,max,97,31,0.0020005291580496,0.2442859191356022
10,bal,105,23,0.0034874112190919,0.2364854957998375
100,sym,64,64,0.0458679534703563,3.53262390084019
100,max,112,16,0.0150153592613122,2.0251113132522343
100,bal,112,16,0.0150153592613122,2.0251113132522343
